#Wavelength Flux FluxErr FluxGeo
 .30231  8.2742  0.0677  8.0288
 .30238  8.3516  0.0681  8.0714
 .30245  8.3360  0.0678  8.0042
 .30252  8.3408  0.0676  8.0508
 .30259  8.4143  0.0677  8.1847
 .30266  8.4058  0.0677  8.2102
 .30274  8.3184  0.0677  8.1051
 .30281  8.3634  0.0681  8.1633
 .30288  8.3997  0.0681  8.1945
 .30295  8.3403  0.0679  8.0728
 .30302  8.3904  0.0680  8.1092
 .30309  8.4795  0.0682  8.1636
 .30316  8.4725  0.0681  8.1668
 .30323  8.4140  0.0676  8.1591
 .30330  8.4525  0.0676  8.2356
 .30337  8.4615  0.0675  8.2096
 .30344  8.3967  0.0674  8.1953
 .30351  8.4154  0.0678  8.2077
 .30358  8.4399  0.0680  8.1887
 .30365  8.4220  0.0676  8.2253
 .30372  8.4001  0.0675  8.1560
 .30379  8.3730  0.0672  8.0997
 .30386  8.3031  0.0670  8.0409
 .30393  8.3031  0.0668  8.0024
 .30401  8.2098  0.0666  7.9075
 .30408  8.3624  0.0670  8.1453
 .30415  8.4957  0.0674  8.2967
 .30422  8.3939  0.0673  8.1841
 .30429  8.3971  0.0673  8.1774
 .30436  8.4030  0.0673  8.2556
 .30443  8.3788  0.0672  8.2622
 .30450  8.4093  0.0672  8.2821
 .30457  8.3829  0.0673  8.1938
 .30464  8.4221  0.0676  8.2537
 .30471  8.4141  0.0680  8.1722
 .30478  8.4463  0.0679  8.2453
 .30486  8.4277  0.0673  8.2973
 .30493  8.4380  0.0670  8.2374
 .30500  8.4266  0.0674  8.2121
 .30507  8.4437  0.0673  8.2489
 .30514  8.3683  0.0673  8.1769
 .30521  8.4299  0.0675  8.1379
 .30528  8.4291  0.0675  8.1594
 .30535  8.4552  0.0678  8.1803
 .30542  8.5755  0.0686  8.3331
 .30549  8.4183  0.0692  8.2565
 .30556  8.4983  0.0695  8.3323
 .30564  8.4217  0.0675  8.1835
 .30571  8.3461  0.0670  8.1251
 .30578  8.4261  0.0670  8.2708
 .30585  8.4066  0.0671  8.1903
 .30592  8.4875  0.0672  8.2748
 .30599  8.5312  0.0672  8.3210
 .30606  8.4706  0.0669  8.2519
 .30613  8.5447  0.0669  8.2942
 .30621  8.4815  0.0667  8.2415
 .30628  8.5078  0.0669  8.2875
 .30635  8.5536  0.0669  8.3340
 .30642  8.5087  0.0669  8.2913
 .30649  8.5281  0.0670  8.3004
